,序號,會員代號,投注金額（元）,本店所屬起算日,保障本店所屬到期日,活動代碼
1471,65,峰06741,0,2022/08/15,2023/02/15,
1472,66,智65975,0,2022/11/26,2023/05/26, 
1473,67,珊20911,0,2023/02/26,2023/08/26,
1474,1,儒49238,800,2023/03/24,2023/09/24,
1475,2,君33056,0,2023/05/13,2023/11/13,
1476,3,薏46697,0,2019/05/01,2019/11/01, 
1477,4,男02968,0,2019/06/10,2019/12/10, 
1478,5,文71585,0,2019/06/14,2019/12/14, 
1479,6,錦16765,0,2019/07/23,2020/01/23, 
1480,7,呂17617,0,2019/09/14,2020/03/14, 
1481,8,婷51127,0,2019/10/11,2020/04/11, 
1482,9,真30556,0,2020/07/22,2021/01/22, 
1483,10,青24959,0,2020/08/01,2021/02/01,
1484,11,達11899,0,2020/08/01,2021/02/01,
1485,12,欽49003,0,2020/08/01,2021/02/01, 
1486,13,緯34316,0,2020/08/01,2021/02/01,
1487,14,玉73273,0,2020/08/01,2021/02/01,
1488,15,華34950,0,2020/08/01,2021/02/01,
1489,16,銘28652,0,2020/08/01,2021/02/01,
1490,17,婷56060,0,2020/08/01,2021/02/01,
1491,18,嫥73503,0,2020/08/01,2021/02/01,
1492,19,杰99452,0,2020/08/01,2021/02/01,
1493,20,年95733,0,2020/08/01,2021/02/01,
1494,21,廷43617,0,2020/08/01,2021/02/01,
1495,22,充37912,0,2020/08/01,2021/02/01,
1496,23,璇52475,0,2020/08/01,2021/02/01,
1497,24,宏46555,0,2020/08/01,2021/02/01,
1498,25,皓24821,0,2020/08/01,2021/02/01,
1499,26,慧97419,0,2020/08/01,2021/02/01,
1500,27,衡39683,0,2020/08/01,2021/02/01,
1501,28,勳09125,0,2020/08/01,2021/02/01,
1502,29,宏79020,0,2020/08/01,2021/02/01,
1503,30,佑46879,0,2020/08/01,2021/02/01,
1504,31,毅95355,0,2020/08/01,2021/02/01,
1505,32,如66533,0,2020/08/01,2021/02/01,
1506,33,甫66368,0,2020/08/01,2021/02/01,
1507,34,元34802,0,2020/08/01,2021/02/01,
1508,35,琳00825,0,2020/08/01,2021/02/01,
1509,36,鳴04312,0,2020/08/01,2021/02/01,
1510,37,傑32830,0,2020/08/01,2021/02/01,
1511,38,展90738,0,2020/08/01,2021/02/01,
1512,39,衛57709,0,2020/08/01,2021/02/01,
1513,40,善99782,0,2020/08/01,2021/02/01,
1514,41,遠15729,0,2020/08/01,2021/02/01,
1515,42,涵33051,0,2020/08/01,2021/02/01,
1516,43,文33113,0,2020/08/01,2021/02/01,
1517,44,賜50437,0,2020/08/01,2021/02/01,
1518,45,麟75090,0,2020/08/01,2021/02/01,
1519,46,滿98231,0,2020/08/01,2021/02/01,
1520,47,綸57482,0,2020/08/01,2021/02/01,
1521,48,諺43999,0,2020/08/01,2021/02/01,
1522,49,銘91789,0,2020/08/01,2021/02/01,
1523,50,享42721,0,2020/08/01,2021/02/01,
1524,51,仁06886,0,2020/08/01,2021/02/01,
1525,52,志73958,0,2020/08/01,2021/02/01,
1526,53,義09555,0,2020/08/01,2021/02/01,
1527,54,維15181,0,2020/08/01,2021/02/01,
1528,55,寶78036,0,2020/08/01,2021/02/01,
1529,56,能38777,0,2020/08/01,2021/02/01,
1530,57,煌86943,0,2020/08/01,2021/02/01,
1531,58,揚40231,0,2020/08/01,2021/02/01,
1532,59,穗47660,0,2020/08/01,2021/02/01, 
1533,60,鈊18953,0,2020/08/01,2021/02/01, 
1534,61,甄05632,0,2020/09/02,2021/03/02, 
1535,62,賓11339,0,2020/10/28,2021/04/28, 
1536,63,宇34087,0,2021/12/11,2022/06/11,
1537,64,貿51262,0,2022/08/16,2023/02/16,
1538,65,峰06741,0,2022/08/15,2023/02/15,
1539,66,智65975,0,2022/11/26,2023/05/26, 
1540,67,珊20911,0,2023/02/26,2023/08/26,
1541,1,儒49238,960,2023/03/24,2023/09/24,
1542,2,賓11339,200,2020/10/28,2021/04/28, 
1543,3,宇34087,0,2021/12/11,2022/06/11,
1544,4,貿51262,0,2022/08/16,2023/02/16,
1545,5,峰06741,0,2022/08/15,2023/02/15,
1546,6,智65975,0,2022/11/26,2023/05/26, 
1547,7,珊20911,0,2023/02/26,2023/08/26,
1548,8,君33056,0,2023/05/13,2023/11/13,
1549,9,薏46697,0,2019/05/01,2019/11/01, 
1550,10,男02968,0,2019/06/10,2019/12/10, 
1551,11,文71585,0,2019/06/14,2019/12/14, 
1552,12,錦16765,0,2019/07/23,2020/01/23, 
1553,13,呂17617,0,2019/09/14,2020/03/14, 
1554,14,婷51127,0,2019/10/11,2020/04/11, 
1555,15,真30556,0,2020/07/22,2021/01/22, 
1556,16,青24959,0,2020/08/01,2021/02/01,
1557,17,達11899,0,2020/08/01,2021/02/01,
1558,18,欽49003,0,2020/08/01,2021/02/01, 
1559,19,緯34316,0,2020/08/01,2021/02/01,
1560,20,玉73273,0,2020/08/01,2021/02/01,
1561,21,華34950,0,2020/08/01,2021/02/01,
1562,22,銘28652,0,2020/08/01,2021/02/01,
1563,23,婷56060,0,2020/08/01,2021/02/01,
1564,24,嫥73503,0,2020/08/01,2021/02/01,
1565,25,杰99452,0,2020/08/01,2021/02/01,
1566,26,年95733,0,2020/08/01,2021/02/01,
1567,27,廷43617,0,2020/08/01,2021/02/01,
1568,28,充37912,0,2020/08/01,2021/02/01,
1569,29,璇52475,0,2020/08/01,2021/02/01,
1570,30,宏46555,0,2020/08/01,2021/02/01,
1571,31,皓24821,0,2020/08/01,2021/02/01,
1572,32,慧97419,0,2020/08/01,2021/02/01,
1573,33,衡39683,0,2020/08/01,2021/02/01,
1574,34,勳09125,0,2020/08/01,2021/02/01,
1575,35,宏79020,0,2020/08/01,2021/02/01,
1576,36,佑46879,0,2020/08/01,2021/02/01,
1577,37,毅95355,0,2020/08/01,2021/02/01,
1578,38,如66533,0,2020/08/01,2021/02/01,
1579,39,甫66368,0,2020/08/01,2021/02/01,
1580,40,元34802,0,2020/08/01,2021/02/01,
1581,41,琳00825,0,2020/08/01,2021/02/01,
1582,42,鳴04312,0,2020/08/01,2021/02/01,
1583,43,傑32830,0,2020/08/01,2021/02/01,
1584,44,展90738,0,2020/08/01,2021/02/01,
1585,45,衛57709,0,2020/08/01,2021/02/01,
1586,46,善99782,0,2020/08/01,2021/02/01,
1587,47,遠15729,0,2020/08/01,2021/02/01,
1588,48,涵33051,0,2020/08/01,2021/02/01,
1589,49,文33113,0,2020/08/01,2021/02/01,
1590,50,賜50437,0,2020/08/01,2021/02/01,
1591,51,麟75090,0,2020/08/01,2021/02/01,
1592,52,滿98231,0,2020/08/01,2021/02/01,
1593,53,綸57482,0,2020/08/01,2021/02/01,
1594,54,諺43999,0,2020/08/01,2021/02/01,
1595,55,銘91789,0,2020/08/01,2021/02/01,
1596,56,享42721,0,2020/08/01,2021/02/01,
1597,57,仁06886,0,2020/08/01,2021/02/01,
1598,58,志73958,0,2020/08/01,2021/02/01,
1599,59,義09555,0,2020/08/01,2021/02/01,
1600,60,維15181,0,2020/08/01,2021/02/01,
1601,61,寶78036,0,2020/08/01,2021/02/01,
1602,62,能38777,0,2020/08/01,2021/02/01,
1603,63,煌86943,0,2020/08/01,2021/02/01,
1604,64,揚40231,0,2020/08/01,2021/02/01,
1605,65,穗47660,0,2020/08/01,2021/02/01, 
1606,66,鈊18953,0,2020/08/01,2021/02/01, 
1607,67,甄05632,0,2020/09/02,2021/03/02, 
1608,1,儒49238,"2,520",2023/03/24,2023/09/24,
1609,2,賓11339,440,2020/10/28,2021/04/28, 
1610,3,宇34087,0,2021/12/11,2022/06/11,
1611,4,貿51262,0,2022/08/16,2023/02/16,
1612,5,峰06741,0,2022/08/15,2023/02/15,
1613,6,智65975,0,2022/11/26,2023/05/26, 
1614,7,珊20911,0,2023/02/26,2023/08/26,
1615,8,君33056,0,2023/05/13,2023/11/13,
1616,9,薏46697,0,2019/05/01,2019/11/01, 
1617,10,男02968,0,2019/06/10,2019/12/10, 
1618,11,文71585,0,2019/06/14,2019/12/14, 
1619,12,錦16765,0,2019/07/23,2020/01/23, 
1620,13,呂17617,0,2019/09/14,2020/03/14, 
1621,14,婷51127,0,2019/10/11,2020/04/11, 
1622,15,真30556,0,2020/07/22,2021/01/22, 
1623,16,青24959,0,2020/08/01,2021/02/01,
1624,17,達11899,0,2020/08/01,2021/02/01,
1625,18,欽49003,0,2020/08/01,2021/02/01, 
1626,19,緯34316,0,2020/08/01,2021/02/01,
1627,20,玉73273,0,2020/08/01,2021/02/01,
1628,21,華34950,0,2020/08/01,2021/02/01,
1629,22,銘28652,0,2020/08/01,2021/02/01,
1630,23,婷56060,0,2020/08/01,2021/02/01,
1631,24,嫥73503,0,2020/08/01,2021/02/01,
1632,25,杰99452,0,2020/08/01,2021/02/01,
1633,26,年95733,0,2020/08/01,2021/02/01,
1634,27,廷43617,0,2020/08/01,2021/02/01,
1635,28,充37912,0,2020/08/01,2021/02/01,
1636,29,璇52475,0,2020/08/01,2021/02/01,
1637,30,宏46555,0,2020/08/01,2021/02/01,
1638,31,皓24821,0,2020/08/01,2021/02/01,
1639,32,慧97419,0,2020/08/01,2021/02/01,
1640,33,衡39683,0,2020/08/01,2021/02/01,
1641,34,勳09125,0,2020/08/01,2021/02/01,
1642,35,宏79020,0,2020/08/01,2021/02/01,
1643,36,佑46879,0,2020/08/01,2021/02/01,
1644,37,毅95355,0,2020/08/01,2021/02/01,
1645,38,如66533,0,2020/08/01,2021/02/01,
1646,39,甫66368,0,2020/08/01,2021/02/01,
1647,40,元34802,0,2020/08/01,2021/02/01,
1648,41,琳00825,0,2020/08/01,2021/02/01,
1649,42,鳴04312,0,2020/08/01,2021/02/01,
1650,43,傑32830,0,2020/08/01,2021/02/01,
1651,44,展90738,0,2020/08/01,2021/02/01,
1652,45,衛57709,0,2020/08/01,2021/02/01,
1653,46,善99782,0,2020/08/01,2021/02/01,
1654,47,遠15729,0,2020/08/01,2021/02/01,
1655,48,涵33051,0,2020/08/01,2021/02/01,
1656,49,文33113,0,2020/08/01,2021/02/01,
1657,50,賜50437,0,2020/08/01,2021/02/01,
1658,51,麟75090,0,2020/08/01,2021/02/01,
1659,52,滿98231,0,2020/08/01,2021/02/01,
1660,53,綸57482,0,2020/08/01,2021/02/01,
1661,54,諺43999,0,2020/08/01,2021/02/01,
1662,55,銘91789,0,2020/08/01,2021/02/01,
1663,56,享42721,0,2020/08/01,2021/02/01,
1664,57,仁06886,0,2020/08/01,2021/02/01,
1665,58,志73958,0,2020/08/01,2021/02/01,
1666,59,義09555,0,2020/08/01,2021/02/01,
1667,60,維15181,0,2020/08/01,2021/02/01,
1668,61,寶78036,0,2020/08/01,2021/02/01,
1669,62,能38777,0,2020/08/01,2021/02/01,
1670,63,煌86943,0,2020/08/01,2021/02/01,
1671,64,揚40231,0,2020/08/01,2021/02/01,
1672,65,穗47660,0,2020/08/01,2021/02/01, 
1673,66,鈊18953,0,2020/08/01,2021/02/01, 
1674,67,甄05632,0,2020/09/02,2021/03/02, 
1675,1,儒49238,580,2023/03/24,2023/09/24,
1676,2,君33056,0,2023/05/13,2023/11/13,
1677,3,薏46697,0,2019/05/01,2019/11/01, 
1678,4,男02968,0,2019/06/10,2019/12/10, 
1679,5,文71585,0,2019/06/14,2019/12/14, 
1680,6,錦16765,0,2019/07/23,2020/01/23, 
1681,7,呂17617,0,2019/09/14,2020/03/14, 
1682,8,婷51127,0,2019/10/11,2020/04/11, 
1683,9,真30556,0,2020/07/22,2021/01/22, 
1684,10,青24959,0,2020/08/01,2021/02/01,
1685,11,達11899,0,2020/08/01,2021/02/01,
1686,12,欽49003,0,2020/08/01,2021/02/01, 
1687,13,緯34316,0,2020/08/01,2021/02/01,
1688,14,玉73273,0,2020/08/01,2021/02/01,
1689,15,華34950,0,2020/08/01,2021/02/01,
1690,16,銘28652,0,2020/08/01,2021/02/01,
1691,17,婷56060,0,2020/08/01,2021/02/01,
1692,18,嫥73503,0,2020/08/01,2021/02/01,
1693,19,杰99452,0,2020/08/01,2021/02/01,
1694,20,年95733,0,2020/08/01,2021/02/01,
1695,21,廷43617,0,2020/08/01,2021/02/01,
1696,22,充37912,0,2020/08/01,2021/02/01,
1697,23,璇52475,0,2020/08/01,2021/02/01,
1698,24,宏46555,0,2020/08/01,2021/02/01,
1699,25,皓24821,0,2020/08/01,2021/02/01,
1700,26,慧97419,0,2020/08/01,2021/02/01,
1701,27,衡39683,0,2020/08/01,2021/02/01,
1702,28,勳09125,0,2020/08/01,2021/02/01,
1703,29,宏79020,0,2020/08/01,2021/02/01,
1704,30,佑46879,0,2020/08/01,2021/02/01,
1705,31,毅95355,0,2020/08/01,2021/02/01,
1706,32,如66533,0,2020/08/01,2021/02/01,
1707,33,甫66368,0,2020/08/01,2021/02/01,
1708,34,元34802,0,2020/08/01,2021/02/01,
1709,35,琳00825,0,2020/08/01,2021/02/01,
1710,36,鳴04312,0,2020/08/01,2021/02/01,
1711,37,傑32830,0,2020/08/01,2021/02/01,
1712,38,展90738,0,2020/08/01,2021/02/01,
1713,39,衛57709,0,2020/08/01,2021/02/01,
1714,40,善99782,0,2020/08/01,2021/02/01,
1715,41,遠15729,0,2020/08/01,2021/02/01,
1716,42,涵33051,0,2020/08/01,2021/02/01,
1717,43,文33113,0,2020/08/01,2021/02/01,
1718,44,賜50437,0,2020/08/01,2021/02/01,
1719,45,麟75090,0,2020/08/01,2021/02/01,
1720,46,滿98231,0,2020/08/01,2021/02/01,
1721,47,綸57482,0,2020/08/01,2021/02/01,
1722,48,諺43999,0,2020/08/01,2021/02/01,
1723,49,銘91789,0,2020/08/01,2021/02/01,
1724,50,享42721,0,2020/08/01,2021/02/01,
1725,51,仁06886,0,2020/08/01,2021/02/01,
1726,52,志73958,0,2020/08/01,2021/02/01,
1727,53,義09555,0,2020/08/01,2021/02/01,
1728,54,維15181,0,2020/08/01,2021/02/01,
1729,55,寶78036,0,2020/08/01,2021/02/01,
1730,56,能38777,0,2020/08/01,2021/02/01,
1731,57,煌86943,0,2020/08/01,2021/02/01,
1732,58,揚40231,0,2020/08/01,2021/02/01,
1733,59,穗47660,0,2020/08/01,2021/02/01, 
1734,60,鈊18953,0,2020/08/01,2021/02/01, 
1735,61,甄05632,0,2020/09/02,2021/03/02, 
1736,62,賓11339,0,2020/10/28,2021/04/28, 
1737,63,宇34087,0,2021/12/11,2022/06/11,
1738,64,貿51262,0,2022/08/16,2023/02/16,
1739,65,峰06741,0,2022/08/15,2023/02/15,
1740,66,智65975,0,2022/11/26,2023/05/26, 
1741,67,珊20911,0,2023/02/26,2023/08/26,
1742,1,儒49238,800,2023/03/24,2023/09/24,
1743,2,君33056,0,2023/05/13,2023/11/13,
1744,3,薏46697,0,2019/05/01,2019/11/01, 
1745,4,男02968,0,2019/06/10,2019/12/10, 
1746,5,文71585,0,2019/06/14,2019/12/14, 
1747,6,錦16765,0,2019/07/23,2020/01/23, 
1748,7,呂17617,0,2019/09/14,2020/03/14, 
1749,8,婷51127,0,2019/10/11,2020/04/11, 
1750,9,真30556,0,2020/07/22,2021/01/22, 
1751,10,青24959,0,2020/08/01,2021/02/01,
1752,11,達11899,0,2020/08/01,2021/02/01,
1753,12,欽49003,0,2020/08/01,2021/02/01, 
1754,13,緯34316,0,2020/08/01,2021/02/01,
1755,14,玉73273,0,2020/08/01,2021/02/01,
1756,15,華34950,0,2020/08/01,2021/02/01,
1757,16,銘28652,0,2020/08/01,2021/02/01,
1758,17,婷56060,0,2020/08/01,2021/02/01,
1759,18,嫥73503,0,2020/08/01,2021/02/01,
1760,19,杰99452,0,2020/08/01,2021/02/01,
1761,20,年95733,0,2020/08/01,2021/02/01,
1762,21,廷43617,0,2020/08/01,2021/02/01,
1763,22,充37912,0,2020/08/01,2021/02/01,
1764,23,璇52475,0,2020/08/01,2021/02/01,
1765,24,宏46555,0,2020/08/01,2021/02/01,
1766,25,皓24821,0,2020/08/01,2021/02/01,
1767,26,慧97419,0,2020/08/01,2021/02/01,
1768,27,衡39683,0,2020/08/01,2021/02/01,
1769,28,勳09125,0,2020/08/01,2021/02/01,
1770,29,宏79020,0,2020/08/01,2021/02/01,
1771,30,佑46879,0,2020/08/01,2021/02/01,
1772,31,毅95355,0,2020/08/01,2021/02/01,
1773,32,如66533,0,2020/08/01,2021/02/01,
1774,33,甫66368,0,2020/08/01,2021/02/01,
1775,34,元34802,0,2020/08/01,2021/02/01,
1776,35,琳00825,0,2020/08/01,2021/02/01,
1777,36,鳴04312,0,2020/08/01,2021/02/01,
1778,37,傑32830,0,2020/08/01,2021/02/01,
1779,38,展90738,0,2020/08/01,2021/02/01,
1780,39,衛57709,0,2020/08/01,2021/02/01,
1781,40,善99782,0,2020/08/01,2021/02/01,
1782,41,遠15729,0,2020/08/01,2021/02/01,
1783,42,涵33051,0,2020/08/01,2021/02/01,
1784,43,文33113,0,2020/08/01,2021/02/01,
1785,44,賜50437,0,2020/08/01,2021/02/01,
1786,45,麟75090,0,2020/08/01,2021/02/01,
1787,46,滿98231,0,2020/08/01,2021/02/01,
1788,47,綸57482,0,2020/08/01,2021/02/01,
1789,48,諺43999,0,2020/08/01,2021/02/01,
1790,49,銘91789,0,2020/08/01,2021/02/01,
1791,50,享42721,0,2020/08/01,2021/02/01,
1792,51,仁06886,0,2020/08/01,2021/02/01,
1793,52,志73958,0,2020/08/01,2021/02/01,
1794,53,義09555,0,2020/08/01,2021/02/01,
1795,54,維15181,0,2020/08/01,2021/02/01,
1796,55,寶78036,0,2020/08/01,2021/02/01,
1797,56,能38777,0,2020/08/01,2021/02/01,
1798,57,煌86943,0,2020/08/01,2021/02/01,
1799,58,揚40231,0,2020/08/01,2021/02/01,
1800,59,穗47660,0,2020/08/01,2021/02/01, 
1801,60,鈊18953,0,2020/08/01,2021/02/01, 
1802,61,甄05632,0,2020/09/02,2021/03/02, 
1803,62,賓11339,0,2020/10/28,2021/04/28, 
1804,63,宇34087,0,2021/12/11,2022/06/11,
1805,64,貿51262,0,2022/08/16,2023/02/16,
1806,65,峰06741,0,2022/08/15,2023/02/15,
1807,66,智65975,0,2022/11/26,2023/05/26, 
1808,67,珊20911,0,2023/02/26,2023/08/26,
1809,1,儒49238,900,2023/03/24,2023/09/24,
1810,2,君33056,0,2023/05/13,2023/11/13,
1811,3,薏46697,0,2019/05/01,2019/11/01, 
1812,4,男02968,0,2019/06/10,2019/12/10, 
1813,5,文71585,0,2019/06/14,2019/12/14, 
1814,6,錦16765,0,2019/07/23,2020/01/23, 
1815,7,呂17617,0,2019/09/14,2020/03/14, 
1816,8,婷51127,0,2019/10/11,2020/04/11, 
1817,9,真30556,0,2020/07/22,2021/01/22, 
1818,10,青24959,0,2020/08/01,2021/02/01,
1819,11,達11899,0,2020/08/01,2021/02/01,
1820,12,欽49003,0,2020/08/01,2021/02/01, 
1821,13,緯34316,0,2020/08/01,2021/02/01,
1822,14,玉73273,0,2020/08/01,2021/02/01,
1823,15,華34950,0,2020/08/01,2021/02/01,
1824,16,銘28652,0,2020/08/01,2021/02/01,
1825,17,婷56060,0,2020/08/01,2021/02/01,
1826,18,嫥73503,0,2020/08/01,2021/02/01,
1827,19,杰99452,0,2020/08/01,2021/02/01,
1828,20,年95733,0,2020/08/01,2021/02/01,
1829,21,廷43617,0,2020/08/01,2021/02/01,
1830,22,充37912,0,2020/08/01,2021/02/01,
1831,23,璇52475,0,2020/08/01,2021/02/01,
1832,24,宏46555,0,2020/08/01,2021/02/01,
1833,25,皓24821,0,2020/08/01,2021/02/01,
1834,26,慧97419,0,2020/08/01,2021/02/01,
1835,27,衡39683,0,2020/08/01,2021/02/01,
1836,28,勳09125,0,2020/08/01,2021/02/01,
1837,29,宏79020,0,2020/08/01,2021/02/01,
1838,30,佑46879,0,2020/08/01,2021/02/01,
1839,31,毅95355,0,2020/08/01,2021/02/01,
1840,32,如66533,0,2020/08/01,2021/02/01,
1841,33,甫66368,0,2020/08/01,2021/02/01,
1842,34,元34802,0,2020/08/01,2021/02/01,
1843,35,琳00825,0,2020/08/01,2021/02/01,
1844,36,鳴04312,0,2020/08/01,2021/02/01,
1845,37,傑32830,0,2020/08/01,2021/02/01,
1846,38,展90738,0,2020/08/01,2021/02/01,
1847,39,衛57709,0,2020/08/01,2021/02/01,
1848,40,善99782,0,2020/08/01,2021/02/01,
1849,41,遠15729,0,2020/08/01,2021/02/01,
1850,42,涵33051,0,2020/08/01,2021/02/01,
1851,43,文33113,0,2020/08/01,2021/02/01,
1852,44,賜50437,0,2020/08/01,2021/02/01,
1853,45,麟75090,0,2020/08/01,2021/02/01,
1854,46,滿98231,0,2020/08/01,2021/02/01,
1855,47,綸57482,0,2020/08/01,2021/02/01,
1856,48,諺43999,0,2020/08/01,2021/02/01,
1857,49,銘91789,0,2020/08/01,2021/02/01,
1858,50,享42721,0,2020/08/01,2021/02/01,
1859,51,仁06886,0,2020/08/01,2021/02/01,
1860,52,志73958,0,2020/08/01,2021/02/01,
1861,53,義09555,0,2020/08/01,2021/02/01,
1862,54,維15181,0,2020/08/01,2021/02/01,
1863,55,寶78036,0,2020/08/01,2021/02/01,
1864,56,能38777,0,2020/08/01,2021/02/01,
1865,57,煌86943,0,2020/08/01,2021/02/01,
1866,58,揚40231,0,2020/08/01,2021/02/01,
1867,59,穗47660,0,2020/08/01,2021/02/01, 
1868,60,鈊18953,0,2020/08/01,2021/02/01, 
1869,61,甄05632,0,2020/09/02,2021/03/02, 
1870,62,賓11339,0,2020/10/28,2021/04/28, 
1871,63,宇34087,0,2021/12/11,2022/06/11,
1872,64,貿51262,0,2022/08/16,2023/02/16,
1873,65,峰06741,0,2022/08/15,2023/02/15,
1874,66,智65975,0,2022/11/26,2023/05/26, 
1875,67,珊20911,0,2023/02/26,2023/08/26,
1876,1,儒49238,"1,410",2023/03/24,2023/09/24,
1877,2,君33056,0,2023/05/13,2023/11/13,
1878,3,薏46697,0,2019/05/01,2019/11/01, 
1879,4,男02968,0,2019/06/10,2019/12/10, 
1880,5,文71585,0,2019/06/14,2019/12/14, 
1881,6,錦16765,0,2019/07/23,2020/01/23, 
1882,7,呂17617,0,2019/09/14,2020/03/14, 
1883,8,婷51127,0,2019/10/11,2020/04/11, 
1884,9,真30556,0,2020/07/22,2021/01/22, 
1885,10,青24959,0,2020/08/01,2021/02/01,
1886,11,達11899,0,2020/08/01,2021/02/01,
1887,12,欽49003,0,2020/08/01,2021/02/01, 
1888,13,緯34316,0,2020/08/01,2021/02/01,
1889,14,玉73273,0,2020/08/01,2021/02/01,
1890,15,華34950,0,2020/08/01,2021/02/01,
1891,16,銘28652,0,2020/08/01,2021/02/01,
1892,17,婷56060,0,2020/08/01,2021/02/01,
1893,18,嫥73503,0,2020/08/01,2021/02/01,
1894,19,杰99452,0,2020/08/01,2021/02/01,
1895,20,年95733,0,2020/08/01,2021/02/01,
1896,21,廷43617,0,2020/08/01,2021/02/01,
1897,22,充37912,0,2020/08/01,2021/02/01,
1898,23,璇52475,0,2020/08/01,2021/02/01,
1899,24,宏46555,0,2020/08/01,2021/02/01,
1900,25,皓24821,0,2020/08/01,2021/02/01,
1901,26,慧97419,0,2020/08/01,2021/02/01,
1902,27,衡39683,0,2020/08/01,2021/02/01,
1903,28,勳09125,0,2020/08/01,2021/02/01,
1904,29,宏79020,0,2020/08/01,2021/02/01,
1905,30,佑46879,0,2020/08/01,2021/02/01,
1906,31,毅95355,0,2020/08/01,2021/02/01,
1907,32,如66533,0,2020/08/01,2021/02/01,
1908,33,甫66368,0,2020/08/01,2021/02/01,
1909,34,元34802,0,2020/08/01,2021/02/01,
1910,35,琳00825,0,2020/08/01,2021/02/01,
1911,36,鳴04312,0,2020/08/01,2021/02/01,
1912,37,傑32830,0,2020/08/01,2021/02/01,
1913,38,展90738,0,2020/08/01,2021/02/01,
1914,39,衛57709,0,2020/08/01,2021/02/01,
1915,40,善99782,0,2020/08/01,2021/02/01,
1916,41,遠15729,0,2020/08/01,2021/02/01,
1917,42,涵33051,0,2020/08/01,2021/02/01,
1918,43,文33113,0,2020/08/01,2021/02/01,
1919,44,賜50437,0,2020/08/01,2021/02/01,
1920,45,麟75090,0,2020/08/01,2021/02/01,
1921,46,滿98231,0,2020/08/01,2021/02/01,
1922,47,綸57482,0,2020/08/01,2021/02/01,
1923,48,諺43999,0,2020/08/01,2021/02/01,
1924,49,銘91789,0,2020/08/01,2021/02/01,
1925,50,享42721,0,2020/08/01,2021/02/01,
1926,51,仁06886,0,2020/08/01,2021/02/01,
1927,52,志73958,0,2020/08/01,2021/02/01,
1928,53,義09555,0,2020/08/01,2021/02/01,
1929,54,維15181,0,2020/08/01,2021/02/01,
1930,55,寶78036,0,2020/08/01,2021/02/01,
1931,56,能38777,0,2020/08/01,2021/02/01,
1932,57,煌86943,0,2020/08/01,2021/02/01,
1933,58,揚40231,0,2020/08/01,2021/02/01,
1934,59,穗47660,0,2020/08/01,2021/02/01, 
1935,60,鈊18953,0,2020/08/01,2021/02/01, 
1936,61,甄05632,0,2020/09/02,2021/03/02, 
1937,62,賓11339,0,2020/10/28,2021/04/28, 
1938,63,宇34087,0,2021/12/11,2022/06/11,
1939,64,貿51262,0,2022/08/16,2023/02/16,
1940,65,峰06741,0,2022/08/15,2023/02/15,
1941,66,智65975,0,2022/11/26,2023/05/26, 
1942,67,珊20911,0,2023/02/26,2023/08/26,
1943,1,儒49238,800,2023/03/24,2023/09/24,
1944,2,君33056,0,2023/05/13,2023/11/13,
1945,3,薏46697,0,2019/05/01,2019/11/01, 
1946,4,男02968,0,2019/06/10,2019/12/10, 
1947,5,文71585,0,2019/06/14,2019/12/14, 
1948,6,錦16765,0,2019/07/23,2020/01/23, 
1949,7,呂17617,0,2019/09/14,2020/03/14, 
1950,8,婷51127,0,2019/10/11,2020/04/11, 
1951,9,真30556,0,2020/07/22,2021/01/22, 
1952,10,青24959,0,2020/08/01,2021/02/01,
1953,11,達11899,0,2020/08/01,2021/02/01,
1954,12,欽49003,0,2020/08/01,2021/02/01, 
1955,13,緯34316,0,2020/08/01,2021/02/01,
1956,14,玉73273,0,2020/08/01,2021/02/01,
1957,15,華34950,0,2020/08/01,2021/02/01,
1958,16,銘28652,0,2020/08/01,2021/02/01,
1959,17,婷56060,0,2020/08/01,2021/02/01,
1960,18,嫥73503,0,2020/08/01,2021/02/01,
1961,19,杰99452,0,2020/08/01,2021/02/01,
1962,20,年95733,0,2020/08/01,2021/02/01,
1963,21,廷43617,0,2020/08/01,2021/02/01,
1964,22,充37912,0,2020/08/01,2021/02/01,
1965,23,璇52475,0,2020/08/01,2021/02/01,
1966,24,宏46555,0,2020/08/01,2021/02/01,
1967,25,皓24821,0,2020/08/01,2021/02/01,
1968,26,慧97419,0,2020/08/01,2021/02/01,
1969,27,衡39683,0,2020/08/01,2021/02/01,
1970,28,勳09125,0,2020/08/01,2021/02/01,
1971,29,宏79020,0,2020/08/01,2021/02/01,
1972,30,佑46879,0,2020/08/01,2021/02/01,
1973,31,毅95355,0,2020/08/01,2021/02/01,
1974,32,如66533,0,2020/08/01,2021/02/01,
1975,33,甫66368,0,2020/08/01,2021/02/01,
1976,34,元34802,0,2020/08/01,2021/02/01,
1977,35,琳00825,0,2020/08/01,2021/02/01,
1978,36,鳴04312,0,2020/08/01,2021/02/01,
1979,37,傑32830,0,2020/08/01,2021/02/01,
1980,38,展90738,0,2020/08/01,2021/02/01,
1981,39,衛57709,0,2020/08/01,2021/02/01,
1982,40,善99782,0,2020/08/01,2021/02/01,
1983,41,遠15729,0,2020/08/01,2021/02/01,
1984,42,涵33051,0,2020/08/01,2021/02/01,
1985,43,文33113,0,2020/08/01,2021/02/01,
1986,44,賜50437,0,2020/08/01,2021/02/01,
1987,45,麟75090,0,2020/08/01,2021/02/01,
