,序號,會員代號,投注金額（元）,本店所屬起算日,保障本店所屬到期日,活動代碼
121,55,銘91789,0,2020/08/01,2021/02/01,
122,56,享42721,0,2020/08/01,2021/02/01,
123,57,仁06886,0,2020/08/01,2021/02/01,
124,58,志73958,0,2020/08/01,2021/02/01,
125,59,義09555,0,2020/08/01,2021/02/01,
126,60,維15181,0,2020/08/01,2021/02/01,
127,61,寶78036,0,2020/08/01,2021/02/01,
128,62,能38777,0,2020/08/01,2021/02/01,
129,63,煌86943,0,2020/08/01,2021/02/01,
130,64,揚40231,0,2020/08/01,2021/02/01,
131,65,穗47660,0,2020/08/01,2021/02/01, 
132,66,鈊18953,0,2020/08/01,2021/02/01, 
133,67,甄05632,0,2020/09/02,2021/03/02, 
134,1,儒49238,"2,000",2023/03/24,2023/09/24,
135,2,賓11339,300,2020/10/28,2021/04/28, 
136,3,宇34087,0,2021/12/11,2022/06/11,
137,4,貿51262,0,2022/08/16,2023/02/16,
138,5,峰06741,0,2022/08/15,2023/02/15,
139,6,智65975,0,2022/11/26,2023/05/26, 
140,7,珊20911,0,2023/02/26,2023/08/26,
141,8,君33056,0,2023/05/13,2023/11/13,
142,9,薏46697,0,2019/05/01,2019/11/01, 
143,10,男02968,0,2019/06/10,2019/12/10, 
144,11,文71585,0,2019/06/14,2019/12/14, 
145,12,錦16765,0,2019/07/23,2020/01/23, 
146,13,呂17617,0,2019/09/14,2020/03/14, 
147,14,婷51127,0,2019/10/11,2020/04/11, 
148,15,真30556,0,2020/07/22,2021/01/22, 
149,16,青24959,0,2020/08/01,2021/02/01,
150,17,達11899,0,2020/08/01,2021/02/01,
151,18,欽49003,0,2020/08/01,2021/02/01, 
152,19,緯34316,0,2020/08/01,2021/02/01,
153,20,玉73273,0,2020/08/01,2021/02/01,
154,21,華34950,0,2020/08/01,2021/02/01,
155,22,銘28652,0,2020/08/01,2021/02/01,
156,23,婷56060,0,2020/08/01,2021/02/01,
157,24,嫥73503,0,2020/08/01,2021/02/01,
158,25,杰99452,0,2020/08/01,2021/02/01,
159,26,年95733,0,2020/08/01,2021/02/01,
160,27,廷43617,0,2020/08/01,2021/02/01,
161,28,充37912,0,2020/08/01,2021/02/01,
162,29,璇52475,0,2020/08/01,2021/02/01,
163,30,宏46555,0,2020/08/01,2021/02/01,
164,31,皓24821,0,2020/08/01,2021/02/01,
165,32,慧97419,0,2020/08/01,2021/02/01,
166,33,衡39683,0,2020/08/01,2021/02/01,
167,34,勳09125,0,2020/08/01,2021/02/01,
168,35,宏79020,0,2020/08/01,2021/02/01,
169,36,佑46879,0,2020/08/01,2021/02/01,
170,37,毅95355,0,2020/08/01,2021/02/01,
171,38,如66533,0,2020/08/01,2021/02/01,
172,39,甫66368,0,2020/08/01,2021/02/01,
173,40,元34802,0,2020/08/01,2021/02/01,
174,41,琳00825,0,2020/08/01,2021/02/01,
175,42,鳴04312,0,2020/08/01,2021/02/01,
176,43,傑32830,0,2020/08/01,2021/02/01,
177,44,展90738,0,2020/08/01,2021/02/01,
178,45,衛57709,0,2020/08/01,2021/02/01,
179,46,善99782,0,2020/08/01,2021/02/01,
180,47,遠15729,0,2020/08/01,2021/02/01,
181,48,涵33051,0,2020/08/01,2021/02/01,
182,49,文33113,0,2020/08/01,2021/02/01,
183,50,賜50437,0,2020/08/01,2021/02/01,
184,51,麟75090,0,2020/08/01,2021/02/01,
185,52,滿98231,0,2020/08/01,2021/02/01,
186,53,綸57482,0,2020/08/01,2021/02/01,
187,54,諺43999,0,2020/08/01,2021/02/01,
188,55,銘91789,0,2020/08/01,2021/02/01,
189,56,享42721,0,2020/08/01,2021/02/01,
190,57,仁06886,0,2020/08/01,2021/02/01,
191,58,志73958,0,2020/08/01,2021/02/01,
192,59,義09555,0,2020/08/01,2021/02/01,
193,60,維15181,0,2020/08/01,2021/02/01,
194,61,寶78036,0,2020/08/01,2021/02/01,
195,62,能38777,0,2020/08/01,2021/02/01,
196,63,煌86943,0,2020/08/01,2021/02/01,
197,64,揚40231,0,2020/08/01,2021/02/01,
198,65,穗47660,0,2020/08/01,2021/02/01, 
199,66,鈊18953,0,2020/08/01,2021/02/01, 
200,67,甄05632,0,2020/09/02,2021/03/02, 
201,1,儒49238,"2,300",2023/03/24,2023/09/24,
202,2,賓11339,300,2020/10/28,2021/04/28, 
203,3,宇34087,0,2021/12/11,2022/06/11,
204,4,貿51262,0,2022/08/16,2023/02/16,
205,5,峰06741,0,2022/08/15,2023/02/15,
206,6,智65975,0,2022/11/26,2023/05/26, 
207,7,珊20911,0,2023/02/26,2023/08/26,
208,8,君33056,0,2023/05/13,2023/11/13,
209,9,薏46697,0,2019/05/01,2019/11/01, 
210,10,男02968,0,2019/06/10,2019/12/10, 
211,11,文71585,0,2019/06/14,2019/12/14, 
212,12,錦16765,0,2019/07/23,2020/01/23, 
213,13,呂17617,0,2019/09/14,2020/03/14, 
214,14,婷51127,0,2019/10/11,2020/04/11, 
215,15,真30556,0,2020/07/22,2021/01/22, 
216,16,青24959,0,2020/08/01,2021/02/01,
217,17,達11899,0,2020/08/01,2021/02/01,
218,18,欽49003,0,2020/08/01,2021/02/01, 
219,19,緯34316,0,2020/08/01,2021/02/01,
220,20,玉73273,0,2020/08/01,2021/02/01,
221,21,華34950,0,2020/08/01,2021/02/01,
222,22,銘28652,0,2020/08/01,2021/02/01,
223,23,婷56060,0,2020/08/01,2021/02/01,
224,24,嫥73503,0,2020/08/01,2021/02/01,
225,25,杰99452,0,2020/08/01,2021/02/01,
226,26,年95733,0,2020/08/01,2021/02/01,
227,27,廷43617,0,2020/08/01,2021/02/01,
228,28,充37912,0,2020/08/01,2021/02/01,
229,29,璇52475,0,2020/08/01,2021/02/01,
230,30,宏46555,0,2020/08/01,2021/02/01,
231,31,皓24821,0,2020/08/01,2021/02/01,
232,32,慧97419,0,2020/08/01,2021/02/01,
233,33,衡39683,0,2020/08/01,2021/02/01,
234,34,勳09125,0,2020/08/01,2021/02/01,
235,35,宏79020,0,2020/08/01,2021/02/01,
236,36,佑46879,0,2020/08/01,2021/02/01,
237,37,毅95355,0,2020/08/01,2021/02/01,
238,38,如66533,0,2020/08/01,2021/02/01,
239,39,甫66368,0,2020/08/01,2021/02/01,
240,40,元34802,0,2020/08/01,2021/02/01,
241,41,琳00825,0,2020/08/01,2021/02/01,
242,42,鳴04312,0,2020/08/01,2021/02/01,
243,43,傑32830,0,2020/08/01,2021/02/01,
244,44,展90738,0,2020/08/01,2021/02/01,
245,45,衛57709,0,2020/08/01,2021/02/01,
246,46,善99782,0,2020/08/01,2021/02/01,
247,47,遠15729,0,2020/08/01,2021/02/01,
248,48,涵33051,0,2020/08/01,2021/02/01,
249,49,文33113,0,2020/08/01,2021/02/01,
250,50,賜50437,0,2020/08/01,2021/02/01,
251,51,麟75090,0,2020/08/01,2021/02/01,
252,52,滿98231,0,2020/08/01,2021/02/01,
